sentence,threat
click on the new button and select user  ,1
fill the user name input on the general tab ,1
eg  wfrestapi  ,0
select user type epvuser and click on the authorized interface  button ,1
you should check that authorized interface column contain ibvsdk type ,0
if not please select it from available interface and click on the button  ,0
click on the ok button  ,0
click on authentication tab ,0
select password for authentication method input  enter the password into password and confirm input ,1
uncheck user must change password at next logon select box ,1
select password never expire select box ,1
click on the ok button ,0
click on the close button ,0
select your user and click on the trust net area ,1
button  click on the update button and set into field after access violation ,0
click on the ok button and close ,0
go to the user logoff ,1
close the privateark app  ,0
configure share logon for cyberark pas  ,0
go to the server where instal cyberark pas web service  ,0
open command prompt cmd  ,0
run cd c cyberark password vault web access credfile ,1
run c cyberark password vault web access env createcredfileexe filenameini eg  c cyberark password vault web access env createcredfileexe wfrestapiini fill correct info for vault username mandatory need to write username who we create in step eg  wfrestapi vault password will be encrypt in credential file password for user from step ,1
for next step click enter always  ,0
open web config file for pwa c inetpub wwwroot passwordvault webconfig ,1
add new key into appsetting add key wscredentialfile value c cyberark password vault web access credfile wfrestapiini save and close it  ,1
run iisreset ,0
import application platform plug in dummyplatformzip  import dummy application platform  ,0
go to the https your domain passwordvault logonaspx ,1
sign in with administrator credential  ,0
click on the administration tab  ,0
click on the platform management row  ,0
click on import platform button  ,0
select applicationplatformzip ,0
find platform by name no management plugin and click on it  ,0
click on duplicate button icon on right bar ,0
enter the platform name wfapplication and click save close button ,0
click on the policy tab ,0
click on the master policy item ,0
select the require user to specify reason for access under the privileged access workflow ,1
click on icon button add exception on right corner ,0
select platform wfapplication and click on the next ,0
select the inactive button for require user to specify reason for access and allow user tof specify free text reason for access and click on the finish button  ,1
check that internal application for aimwebservice be exist ,0
login to the instance where aimwebservice be instal  ,1
go to the folder where the central credential provider web service be instal default c inetpub wwwroot aimwebservice and open the webconfig file  ,0
find the key appid eg  appsetting add key appid value aimwebservice appsetting ,0
login to the pvwa https your domain passwordvault logonaspx and open application tab  ,1
input value from step ,0
into search for and click on the search button  ,1
if the application doesn t exist you should add it for aimwebservice ,0
refer central credential provider implementation guidepdf ,0
note by default we be use this application with path authentication ,0
default path c inetpub wwwroot aimwebservice bin aimwebservicedll  ,0
create specific application issue the password request workfusion ,1
login to the pvwa https your domain passwordvault logonaspx and open application tab  ,1
click on the add application  ,0
fill input name workfusion description workfusion application issue the password request ,1
first name your first name it be optional field last name your last name it be optional field email your email it be optional field phone your phone it be optional field location click on the add button  ,0
you should see the application detail page  ,0
click on the add button in the authentication grid  ,0
select certificate serial number  ,0
insert serial number from client certificate step  ,0
what use for mtls authentication ,0
extract the serial number value from the client certificate ,0
the follow example show how to extract the serial number in windows certificate manager although any management utility can be use ,0
open the windows certificate manager find client certificate and click on it ,0
select detail tab and select serial number field  ,0
click on the add button ,0
create specific safe  ,0
go to the https your domain passwordvault logonaspx ,1
sign in with administrator credential  ,0
click on the policy tab  ,0
click on the access control safe ,0
click on the add safe button  ,0
fill input safe name instance domain wfinternal for internal service account and instance domain wfapp for custom account ,1
click on the save button  example for safe name for demo workfusioncom,0
host server ,0
for internal safe demo workfusioncom,0
wfinternal for custom safe demo workfusioncom,0
you should see safe detail page with member grid  ,0
click on the add member in member grid  ,0
in search input fill your rest api username and click on the search button ,1
select your rest api user and add next access for he access use account retrieve account list account add account include update property update account content rename account delete account ,1
click on the add button when you see your username have be add message click on the close button ,1
you should see your rest api username in the member grid  add additional user which be use in aimwebservice  username workfusion and username start with prov  where workfusion username be create in step ,1
prov  username eg  prov win pb j krg be create when you install central credential provider these user should have next permission should be check access retrieve account list account account management initiate cpm account management operation specify next account content monitor view safe member workflow access safe without confirmation need to create safe wfinternal and wfapp per instance instancedomain wfinternal and instancedomain wfapp ,1
configure workfusion app to integrate with cyberark ,0
go to the tomcat folder  ,0
go to the config folder and add update workfusionpropertie workspacepropertie etc next property securestoragesafecustomerdefault instancename wfapp securestoragesafeinternal instancename wfinternal securestoragetype cyberark securestorageserverapi https cbrk server hostcom securestorageplatformid wfapplication securestorageclientcertificate pathtoclientcertificate clientcertpfx securestorageclientkeypass keypass securestorageusernamecustomer username where username username from step second user ,1
this user be custom validation that client can see secret from workfusion ui  workfusion ui ask client password for this user and check that this user have access to the safe and pass be correct ,1
if pass be correct client can see secret otherwise he can t see it ,0
workfusion get all internal secure property and custom secure property from cyberark ,0
summary instal component cyberark vault cyberark privateark cyberark pas web api cyberark aim central credential provider central credential provider web service authentication wf cyberark certificate base auth with share user mtls configuration create workfusion api user epv user type w api permission ibvsdk should be use import application platform plug in dummyplatformzip create internal wf safe instance name wfinternal for secure configuration property  create a safe for custom secret management instance name wfapp for custom secret ,1
please note for multi tenant environment safe per instance would be require now workfusion support only safe internal for configuration property and custom for specific custom secret ,0
partner contact info business contact technical contact support contact email email email gautam moorjani gautam workfusioncom andrei zhemaituk azhemaituk workfusioncom workfusion support support workfusioncom,1
desktop analytic solution guide release nice advanced process automation ,0
document revision ,0
a distribution status publish publication date february proprietary and confidential information information herein be proprietary information and trade secret of nice ltd  and or its affiliated company affiliate ,0
this document and the information herein be the exclusive property of nice and its affiliate and shall not be disclose in whole or in part to any third party or utilize for any purpose other than the express purpose for which it have be provide ,0
important notice subject always to any exist term and condition agree between you and nice or any affiliate with respect to the product which be the subject matter of this document neither nice nor any of its affiliate shall bear any responsibility or liability to a client or to any person or entity with respect to liability loss or damage cause or allege to be cause directly or indirectly by any product supply or any reliance place on the content of this document ,0
this include but be not limit to any interruption of service loss of business or anticipatory profit or consequential damage result from the use or operation of any product supply or the content of this document ,0
information in this document be subject to change without notice and do not represent a commitment on the part of nice or any affiliate ,0
all information include in this document such as text graphic photo logo and image be the exclusive property of nice or in affiliate and be protect by united states and international copyright law ,0
permission be grant to use view and photocopy or print material from this document only in connection with the product to which this document relate and subject to the term of license applicable to such product ,0
any other use copy distribution retransmission or modification of the information in this document without the express prior write permission of nice or an affiliate be strictly prohibit ,0
in the event of any permit copying redistribution or publication of copyright material no change in or deletion of author attribution trademark legend or copyright notice shall be make ,0
product supply may be protect by one or more of the us patent list at wwwnicecom patent ,0
for the full list of trademark of nice and its affiliate visit wwwnicecom nice trademark ,0
all other mark use be the property of their respective proprietor ,0
all content of this document be copyright nice ltd ,0
all right reserve ,0
for assistance contact your local supplier or near nice customer service center international headquarters israel email info nicecom hong kong emea region europe middle east africa email support nicecom apac region asia pacific email supportapac nicecom north america email na sale nicecom the americas region north central south america email supportamericas nicecom united kingdom israel email support nicecom france germany nice invite you to join the nice user group nug ,1
visit the nug website at wwwniceusergrouporg and follow the instruction ,1
all query comment and suggestion be welcome please email nicebook nicecom for more information about nice visit wwwnicecom content introduce desktop analytic scope of this guide document revision history desktop analytic solution workflow prepare for the desktop analytic installation access advanced process automation installation file data mart installation prerequisite instal the desktop analytic client instal the desktop analytic client component unattende silent installation configure desktop analytic setting application monitoring setting view application monitoring resolver troubleshoot the oracle form display configure desktop to citrix support for application usage event monitor desktop application monitor setting desktop process monitor setting real time database clean up of record old than x day configure desktop analytic parameter for wfm configure smartcent totalview parameter for wfm configure xml file parameter for desktop analytic desktop to citrix support for application usage event monitor configuration solution guide nice advanced process automation ,0
desktop analytic ,0
a table of content configure message day configure mask application and process monitoring in real time designer define the real time designer desktop process monitor application and page display name create category for display name import select application page name into display name table export display name mapping import display name export display name define display name for application and page access the display name local file web domain and page mapping re post datum define process monitor in real time designer configure a process and its task process and task design guideline configure an automatic process configure task process path discovery monitor a process process monitor function process function task function process monitor property use desktop work tracker desktop work tracker workflow perform additional miscellaneous configuration define manual process and their stop reason configure process stop reason for manual process configure a manual process desktop work tracker configuring activity solution guide nice advanced process automation ,0
desktop analytic ,0
a customizing the desktop work tracker client look and feel use the desktop work tracker client desktop analytic report overview work with report access desktop analytic report select filter parameter about the desktop analytic report drill down functionality desktop application analytic report application usage report application usage report business impact application usage report define and run analyze the application usage report employee productivity report employee productivity report business impact employee productivity report define and run analyze the employee productivity report desktop process analytic report application path analysis report application path analysis report business impact application path analysis report define and run analyze the application path analysis report application usage in process report application usage in process report business impact application usage in process report define and run analyze the application usage in process report process duration analysis report process duration analysis report business impact process duration analysis report define and run analyze the process duration analysis report run the application usage in process report process utilization report process utilization report business impact process utilization define and running solution guide nice advanced process automation ,0
desktop analytic ,0
a table of content table of content analyze the process utilization report total work item handle duration report total work item handle duration report business impact total work item handle duration report define and run analyze the total work item handle duration report desktop work tracker report application path analysis report application path analysis report define and run analyze the application path analysis report application usage in process report application usage in process report define and run analyze the application usage in process report process duration analysis report process duration analysis report define and run analyze the process duration analysis report run the application usage in process report process utilization report process utilization report define and run analyze the process utilization report troubleshoot the desktop analytic report miss datum in the report server dashboard administrative report administrative report in the server dashboard view the auto update download report view the solution download report view the log in user report view the callout display report a data mart schema data mart table relationship general data mart schema table gnr table general dim table solution guide nice advanced process automation ,1
desktop analytic ,0
a dwh site dim dwh calendar dim dwh agent dim dwh team dim kpi tables kpi meta kpi result kpi result aggregation dc sample table data mart database and operational database job desktop analytic data mart schema table desktop analytic dim table dwh task dim dwh qtag dim dwh process dim dwh applicationpage dim dwh hierarchylevel dim dwh agentstate dim dwh ref process stop reason dim dwh off desktop reason dim raw datum fact table dwh agentstateapppage fact dwh task fact dwh path fact dwh process instance fact dwh off desktop user reporting fact aggregate datum fact table dwh application day fact dwh process day fact dwh applicationprocess day fact dwh task day fact data mart object data mart entities data mart duration data mart hierarchy solution guide nice advanced process automation ,1
desktop analytic ,0
a table of content table of content b use the recording method for define process and task record workflow process recording toolbar how to record an employee session record pane recording pane information per column per event filter area trigger tab snapshot tab create a process c integration with third party application application monitor rest api user application rest api service and log file resolver rest api resolver authorization api openam good practice for token management good practice for token management d desktop analytic good practice create and define your desktop analytic solution mapping display name and category tip when mapping display name and category define desktop process monitoring phase define which process to monitor configure start and stop trigger for the process define dynamic process property general process definition tip review problematic process property monitor report phase refine your desktop analytic solution define desktop process monitoring phase solution guide nice advanced process automation ,1
desktop analytic ,0
a complete process trigger that be miss monitor report phase define desktop process monitoring phase desktop analytic report guideline perform routine desktop analytic activity use the report to analyze the cause for spike in productivity maintain display name and application use the report to analyze efficiency vs productivity use application monitoring to handle compliance issue reflect change in target application create a solid partnership between the customer business and it schedule maintenance activity e desktop analytic wfm web service f datum script datum validation script application and page display name script table of content solution guide nice advanced process automation ,0
desktop analytic ,0
a this page intentionally leave blank introduce desktop analytic the desktop analytic solution be part of the advanced process automation system ,0
the desktop analytic solution be previously know as the real time activity monitor rtam solution ,0
nice advanced process automation be previously know as nice real time solution ,0
this solution guide provide a comprehensive guide to the desktop analytic solution ,0
scope of this guide document revision history content solution guide nice advanced process automation ,0
desktop analytic ,0
a introduce desktop analytic scope of this guide scope of this guide this guide be update for nice advanced process automation release ,0
previously know as nice real time solution  who should use this guide this guide be intend for personnel responsible for manage the desktop analytic process to be monitor in the real time solution system ,0
note before use this guide user should be familiar with the concept describe in the designer user guide particularly physical object screen element business entity and business logic include rule and event handler ,1
what be include in this guide installation and configuration overview of process and application monitoring process monitor guideline configuration and usage application monitor configuration and usage good practice report run report and create report server administration database schema management what be not include in this guide for these additional related procedure see the following for detail about concept and example introduce in this guide  designer user guide system administration guide to define physical object screen element business entity and business logic include rule and event handler ,1
designer user guide define data collection ,1
designer user guide solution guide nice advanced process automation ,1
desktop analytic ,0
a introduce desktop analytic scope of this guide for these additional related procedure see the follow configuring setting in process path discovery ,0
system administration guide detail on the monitor  designer user guide create report in real time designer designer user guide real time solution report  designer user guide limitation advanced process automation release note solution guide nice advanced process automation ,1
desktop analytic ,0
a introduce desktop analytic document revision history document revision history revision software version description advanced process automation ,0
february advanced process automation ,0
december advanced process automation ,0
update note in instal the desktop analytic client component on page add integration with third party application on page application monitor rest api on page resolver rest api on add the new real time site launcher for single client package ,0
see silent installation egrunonstartup on page ,0
add new silent parameter for automation finder ,0
see unattended silent installation on page ,0
client and designer server must be instal in a secure environment with https ,0
remove egserverhttps and egserverport from unattended silent installation on page ,0
update data mart database and operational database job on page  add configure mask on page ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a revision software version description introduce desktop analytic document revision history advanced process automation  add additional job to data mart database and operational database job on page ,0
update real time solution to advanced process automation and rtam to desktop analytic  add parameter to age desktop analytic message ,0
see configure message day on page ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a revision software version description introduce desktop analytic document revision history real time solution february add import display name on page ,0
add export display name on page ,0
add search for a process in desktop work tracker ,1
see use desktop work tracker on update desktop work tracker button to activity instead of off desktop ,0
see use desktop work tracker on page update the change to the active application threshold ,0
see desktop analytic wfm web service on page ,0
update the description of idle and lock to include the dwt activity ,0
see desktop analytic wfm web service on page ,0
add the option to configure which message to send from the rt client to the web server ,0
see desktop analytic wfm web service on page ,0
add select an activity with no process enable ,0
see use desktop work tracker on page and perform additional miscellaneous configuration on page ,0
add specify the maximum and minimum length of the process uid ,0
see use desktop work tracker on page and perform additional solution guide nice advanced process automation ,0
desktop analytic ,0
a revision software version description introduce desktop analytic document revision history miscellaneous configuration on page  add maximum number of stop reason ,0
see configuring process stop reason for manual process on page and perform additional miscellaneous configuration on page ,0
add the queue tag limitation of character ,0
see configure a manual process desktop work tracker on page and configure an automatic process on page ,0
update import select application page name into display name table on page to include the automate list of generic display name as a mapping suggestion ,0
add data script ,0
see datum script on page ,0
real time solution add note regard other period category to employee productivity report define and run on page ,0
real time solution guide reorganization solution guide nice advanced process automation ,0
desktop analytic ,0
a revision software version description introduce desktop analytic document revision history real time solution report update the process duration analysis report see analyze the process duration analysis report on page ,0
add the total work item handle duration report on page ,0
update the employee productivity report with the new run the application usage report on page drill through ,0
update the data mart schema ,0
update the deployment flow see desktop analytic solution workflow on page ,0
add a new chapter on the desktop work tracker feature see use desktop work tracker on page for detail ,0
revise the chapter define the real time designer desktop process monitor on page ,0
in the real time designer process monitoring procedure add the new manual and automatic process configuration procedure see configure a process and its task on page for detail ,0
update the accessing advanced process automation installation file on page page ,0
solution guide nice advanced process automation ,0
desktop analytic ,0
a revision software version description introduce desktop analytic document revision history real time solution real time solution december update instal the desktop analytic client component on page include wfm support ,0
the page remove raw datum from display name be update to mask raw datum in display name on page per the change to the ui  add the appendix desktop analytic wfm web service on page ,0
update the explanation on configure task see configuring task on page for detail ,0
add troubleshooting miss datum in rtam report ,0
see missing datum in the report on add an explanation on use task with process ,0
update the deployment flow ,0
add an explanation on task and process and their status ,0
update the configuration parameter name and reference in import select application page name into display name table on update the rtam client component installation procedure ,0
